"text"
"1";"RT @UexBiblioteca: Sigue el 14Workshop REBIUN @14wkRebiun 6Jornadas Repositorios con #14wkRebiun y #OSR6 Web: http://t.co/ZWel2MK4wq  http:…"
"2";"Sigue el 14Workshop REBIUN @14wkRebiun 6Jornadas Repositorios con #14wkRebiun y #OSR6 Web: http://t.co/ZWel2MK4wq  http://t.co/3rlLSUgNet"
"3";"RT @rebiun: Todo listo para #14wkRebiun #OSR6 Os esperamos en Córdoba en las Jornadas Los Horizontes de los Repositorios http://t.co/hq8K9t…"
"4";"RT @rebiun: Todo listo para #14wkRebiun #OSR6 Os esperamos en Córdoba en las Jornadas Los Horizontes de los Repositorios http://t.co/hq8K9t…"
"5";"Todo listo para #14wkRebiun #OSR6 Os esperamos en Córdoba en las Jornadas Los Horizontes de los Repositorios http://t.co/hq8K9tLDhW …"
"6";"Esta setmana els nostres companys de NNTT estaran al #14wkRebiun #OSR6 on coneixerem les últimes novetats en... http://t.co/4URAFHAdsV"
"7";"RT @rebiun: Sigue el 14Workshop REBIUN @14wkRebiun 6Jornadas Repositorios con #14wkRebiun y #OSR6 Web: http://t.co/hq8K9tLDhW http://t.co/y…"
"8";"RT @rebiun: Sigue el 14Workshop REBIUN @14wkRebiun 6Jornadas Repositorios con #14wkRebiun y #OSR6 Web: http://t.co/hq8K9tLDhW http://t.co/y…"
"9";"RT @rebiun: Sigue el 14Workshop REBIUN @14wkRebiun 6Jornadas Repositorios con #14wkRebiun y #OSR6 Web: http://t.co/hq8K9tLDhW http://t.co/y…"
"10";"RT @rebiun: Sigue el 14Workshop REBIUN @14wkRebiun 6Jornadas Repositorios con #14wkRebiun y #OSR6 Web: http://t.co/hq8K9tLDhW http://t.co/y…"
"11";"RT @rebiun: Sigue el 14Workshop REBIUN @14wkRebiun 6Jornadas Repositorios con #14wkRebiun y #OSR6 Web: http://t.co/hq8K9tLDhW http://t.co/y…"
"12";"Sigue el 14Workshop REBIUN @14wkRebiun 6Jornadas Repositorios con #14wkRebiun y #OSR6 Web: http://t.co/hq8K9tLDhW http://t.co/yIvhfgrl3b"
"13";"RT @14wkRebiun: MT\"@jabarrera: La @Buco_es, @rebiun, @merlovega y @reme_melero, organizan en Córdoba http://t.co/2NKtRwCRoJ\" @14wkRebiun #1…"
"14";"MT\"@jabarrera: La @Buco_es, @rebiun, @merlovega y @reme_melero, organizan en Córdoba http://t.co/2NKtRwCRoJ\" @14wkRebiun #14wkRebiun #OSR6"
